,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Quincy Acy 2014,-6.138,4.247,-0.174,0.020,0.005,0.616,0.242,-0.478,-0.486,-0.134,-0.365,-0.651,-1.114,0.202,-0.881,0.483,1.051,-0.173,-0.425,-0.165,-0.333,0.911,0.161,0.283
Steven Adams 2014,-3.087,7.738,-0.754,-3.799,-1.273,-0.046,-0.591,-1.993,-2.150,3.491,-0.669,0.697,-0.583,-0.216,0.227,0.222,2.018,0.414,-0.652,-0.444,-1.436,0.478,0.836,-0.002
Jeff Adrien 2014,-1.411,5.995,-1.829,0.672,2.958,-2.173,1.921,0.460,-0.723,-0.391,-2.057,1.465,0.657,-0.107,-0.137,-0.251,-0.368,-1.003,-0.645,0.084,0.898,-0.353,0.087,0.062
Arron Afflalo 2014,4.838,-5.031,-0.345,4.548,0.573,-0.201,0.944,-2.745,-1.972,0.320,0.038,-0.837,-0.589,0.049,0.803,-0.635,0.469,-0.199,-0.772,-0.089,-0.468,1.041,0.162,-0.027
Alexis Ajinça 2014,-2.464,6.540,-0.655,1.118,0.139,0.805,0.345,0.732,-2.657,1.764,-2.689,-0.927,-0.217,0.348,-0.285,0.271,-0.846,-1.618,0.216,-0.270,-0.211,-0.322,-0.298,-0.620
LaMarcus Aldridge 2014,13.771,2.520,-3.306,11.061,-1.187,3.235,4.441,-1.750,-0.049,-1.624,2.315,2.255,1.508,0.226,1.032,0.161,0.818,-0.349,-0.014,0.392,-1.102,1.263,1.550,-1.574
Lavoy Allen 2014,-4.045,4.533,-1.462,2.916,-1.045,-0.343,0.260,1.172,-0.547,-1.107,-0.519,0.580,-0.191,-0.206,-0.915,0.873,1.256,-0.684,-0.958,-0.304,-0.162,-0.736,-1.203,0.265
Ray Allen 2014,-1.474,-4.226,2.475,0.128,0.947,0.510,-1.344,0.139,-1.426,-0.654,0.247,0.105,-0.661,-0.346,0.725,-1.476,0.060,0.030,1.229,-0.625,1.083,0.091,0.023,-0.018
Tony Allen 2014,-0.737,1.857,-1.618,-2.471,-0.368,2.875,1.157,-0.735,2.876,-0.800,-2.423,0.936,-0.290,-1.196,0.654,-0.723,0.325,0.883,1.171,-1.634,0.398,-0.369,-0.217,-0.013
Al-Farouq Aminu 2014,-0.224,3.555,0.085,-0.336,-2.379,1.395,0.549,-1.259,0.855,-1.541,-0.871,0.068,-0.731,0.722,0.081,0.760,0.462,0.663,-0.120,0.705,0.209,0.441,-0.003,1.496
Chris Andersen 2014,-0.493,7.640,2.873,-2.840,2.366,1.278,1.575,-3.154,-0.681,0.527,1.288,-1.904,0.340,0.101,0.434,-1.775,-0.529,0.015,1.628,-1.795,-0.720,-0.110,0.519,1.250
Alan Anderson 2014,-3.618,-2.770,1.177,0.366,-1.190,-0.390,-0.299,-1.185,-0.750,0.211,0.589,0.214,-0.697,-0.184,0.499,-0.958,-0.987,-0.792,1.092,0.493,-0.239,-0.593,-0.030,0.438
James Anderson 2014,-1.059,-2.026,2.642,-0.949,-2.741,-1.452,-0.610,-0.732,0.540,0.172,-0.892,-0.355,0.573,-0.206,1.098,0.738,-0.521,0.362,-0.316,-0.256,0.559,-0.266,-0.453,0.606
Ryan Anderson 2014,-1.048,-1.699,1.558,2.093,4.358,-4.404,3.101,1.200,0.390,-1.622,-1.079,1.337,0.854,2.360,-1.023,-1.180,-0.155,-1.730,-0.845,-0.705,-0.465,-0.579,-0.916,0.803
Giannis Antetokounmpo 2014,-2.108,1.806,-0.622,-3.138,-2.821,-0.870,2.337,-1.694,-0.494,1.219,1.768,-1.150,-0.658,-0.926,-0.089,1.029,-0.160,-0.872,-0.166,-0.461,-0.663,0.395,-0.126,0.229
Carmelo Anthony 2014,15.067,-4.239,-0.036,3.956,0.991,0.604,3.235,-1.682,-2.054,1.394,0.833,1.806,-0.950,1.488,0.351,-0.539,0.322,-1.643,0.502,-0.801,-0.818,-0.194,-0.328,-0.066
Pero Antić 2014,-4.374,-0.159,1.608,-0.236,0.206,-1.190,2.289,0.928,-1.817,-1.372,0.319,-0.693,-1.077,0.145,0.310,-0.422,-1.417,-1.244,1.352,0.356,-1.110,-0.008,-0.213,-0.403
Trevor Ariza 2014,4.426,-3.493,5.004,-3.059,-1.574,1.284,1.301,-0.186,-0.022,-1.477,-0.794,1.416,0.056,-0.751,0.410,0.481,-0.088,-1.080,0.035,-0.209,0.044,0.622,0.029,0.574
Darrell Arthur 2014,-3.928,1.030,-0.412,3.837,-3.175,2.717,3.810,-1.129,-0.644,-0.132,-0.362,-0.528,0.665,-0.530,-1.916,0.027,1.426,0.620,0.031,-0.375,-0.874,-0.899,0.251,-0.311
Ömer Aşık 2014,-2.589,7.952,-0.500,-2.381,1.720,-1.465,1.675,-0.962,-3.366,1.066,-0.872,0.695,-0.875,1.822,1.373,-0.065,0.752,1.559,-0.250,-0.222,0.822,2.143,1.270,0.238
D.J. Augustin 2014,1.720,-6.122,-0.662,-2.550,1.831,-0.276,0.255,-1.247,-0.958,-0.177,0.043,-0.095,0.256,0.262,-1.327,-0.664,-0.485,-0.230,-0.350,-0.277,-1.310,-0.364,0.944,-0.979
Jeff Ayres 2014,-4.536,6.025,-0.372,-0.948,0.530,1.095,-1.266,-1.423,-2.941,0.967,-1.495,-0.905,0.027,-0.461,1.580,1.187,0.163,0.187,-0.054,-0.029,-0.645,0.505,0.468,-0.955
J.J. Barea 2014,-2.656,-4.366,-3.818,-0.673,-0.961,-1.594,-1.476,-0.541,-2.227,-0.980,0.979,-0.288,0.948,0.986,-0.543,0.251,-0.685,0.812,1.341,-0.413,-0.032,-0.588,0.437,-0.500
Andrea Bargnani 2014,-0.562,2.126,0.043,5.046,0.357,-1.368,2.150,1.074,-0.104,0.382,-0.374,-1.055,1.211,-0.482,-0.731,-0.695,0.086,0.210,-0.914,-0.454,0.357,-0.489,-0.845,0.654
Harrison Barnes 2014,-0.310,-0.634,-0.003,0.762,-2.573,-0.291,-0.730,-0.395,1.116,0.386,1.207,0.857,-1.159,-0.876,-0.701,0.686,0.042,-0.986,-0.162,0.691,-0.179,0.472,-0.218,-0.302
Matt Barnes 2014,-0.863,-0.854,3.710,-1.215,-1.121,-0.224,0.078,1.216,-0.092,-1.143,-1.019,-0.585,0.291,-1.563,0.674,-0.971,0.370,-0.014,0.266,-0.064,0.127,-0.535,-0.347,-0.770
