slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,rimFG,rimFGA,rimFG%,rimAst'd,rim%Ast'd,3pt%Ast'd
adamsst01,Steven Adams,CENTER,25,OKLAHOMA CITY THUNDER,80,80,2669,481,809,0,2,146,292,391,369,124,117,76,135,204,6.6,2.4,1.1,0.4,14.8,4.0,0.361,0.7,14.7,5.1,18.5,2.0,0.002,14.7,0.591,12.6,16.4,2.1,9.1,0.163,364,541,.673,234,.643,
adebaba01,Bam Adebayo,CENTER,21,MIAMI HEAT,82,28,1913,280,486,3,15,166,226,165,432,184,71,65,121,203,14.2,3.0,1.8,2.2,24.0,3.4,0.465,-0.4,9.2,3.4,17.9,1.8,0.031,16.6,0.623,17.1,15.8,1.8,6.8,0.171,199,278,.716,134,.673,.667
aldrila01,LaMarcus Aldridge,CENTER,33,SAN ANTONIO SPURS,81,81,2687,684,1319,10,42,349,412,251,493,194,43,107,144,179,11.6,3.4,1.8,-0.6,19.8,2.9,0.312,2.4,10.3,6.4,22.9,0.8,0.032,15.1,0.5760000000000001,8.8,26.9,2.6,9.3,0.16699999999999998,276,389,.710,168,.609,.923
allenja01,Jarrett Allen,CENTER,20,BROOKLYN NETS,80,80,2096,335,568,6,45,197,278,191,481,110,43,120,103,184,7.9,4.5,1.6,1.4,24.0,3.3,0.489,0.2,9.6,4.4,18.5,1.0,0.079,16.8,0.632,13.0,15.9,1.9,7.6,0.175,297,411,.723,243,.818,1.000
aminual01,Al-Farouq Aminu,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,81,81,2292,257,593,96,280,150,173,112,498,104,68,33,72,143,6.0,1.2,0.7,0.6,22.6,2.8,0.292,0.1,5.3,3.0,13.2,1.4,0.47200000000000003,14.2,0.568,9.7,13.7,1.5,5.8,0.121,142,238,.597,80,.563,1.000
anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112,15.0,2.7,0.8,2.4,18.1,1.8,0.23199999999999998,-1.6,4.1,0.8,12.8,2.1,0.12300000000000001,11.0,0.569,16.0,12.6,0.9,2.7,0.1,87,128,.680,52,.598,1.000
antetgi01,Giannis Antetokounmpo,POWER FORWARD,24,MILWAUKEE BUCKS,72,72,2358,721,1247,52,203,500,686,159,739,424,92,110,268,232,30.3,3.9,10.4,4.1,30.0,5.5,0.55,6.3,7.3,8.9,30.9,1.8,0.163,19.3,0.644,14.8,32.3,7.4,14.4,0.292,643,845,.761,314,.488,.714
anunoog01,OG Anunoby,SMALL FORWARD,21,TORONTO RAPTORS,67,6,1352,183,404,67,202,36,62,58,139,47,46,22,55,140,4.7,1.3,-2.4,0.1,10.8,1.7,0.153,-2.4,4.8,0.3,9.8,1.6,0.5,7.9,0.544,11.3,15.5,-0.1,2.0,0.07,97,140,.693,51,.526,.985
arcidry01,Ryan Arcidiacono,POINT GUARD,24,CHICAGO BULLS,81,32,1961,187,418,81,217,89,102,27,192,269,65,4,63,171,18.9,0.2,-1.9,0.1,10.8,0.9,0.244,-2.0,1.5,2.8,11.6,1.6,0.519,6.1,0.588,12.0,11.7,0.1,3.7,0.09,43,72,.597,17,.395,.864
arizatr01,Trevor Ariza,SMALL FORWARD,33,WASHINGTON WIZARDS,43,43,1465,208,509,95,295,94,121,34,192,165,53,13,67,86,15.5,0.7,-1.4,-0.9,14.5,0.8,0.23800000000000002,-0.5,2.5,1.1,13.0,1.7,0.58,8.4,0.5379999999999999,10.6,18.2,0.2,1.9,0.062,118,193,.611,77,.653,.917
augusdj01,D.J. Augustin,POINT GUARD,31,ORLANDO MAGIC,81,81,2269,318,677,131,311,181,209,41,162,426,52,4,128,115,26.9,0.1,0.5,-0.7,7.8,1.9,0.309,1.1,1.9,5.0,15.7,1.1,0.45899999999999996,4.8,0.616,14.3,17.2,1.4,6.9,0.146,122,189,.646,29,.238,.645
aytonde01,Deandre Ayton,CENTER,20,PHOENIX SUNS,71,70,2183,509,870,0,4,141,189,223,506,125,61,67,126,209,9.6,2.6,0.2,-1.1,26.1,1.7,0.217,1.3,11.1,4.1,20.5,1.3,0.005,18.5,0.608,11.7,21.2,1.2,5.8,0.128,305,416,.733,214,.702,
baglema01,Marvin Bagley III,POWER FORWARD,19,SACRAMENTO KINGS,62,4,1567,356,706,30,96,181,262,162,309,62,33,59,98,120,5.9,3.2,-1.0,-1.5,20.8,1.6,0.371,0.5,10.4,2.0,18.9,1.0,0.136,15.5,0.562,10.7,24.2,0.4,3.6,0.11,177,256,.691,90,.508,.900
balllo01,Lonzo Ball,POINT GUARD,21,LOS ANGELES LAKERS,47,45,1423,185,456,75,228,20,48,54,197,255,69,19,103,114,23.8,1.1,-0.3,1.3,14.0,1.7,0.105,-1.6,4.0,-0.2,11.7,2.3,0.5,9.1,0.48700000000000004,17.8,16.9,0.6,1.6,0.052000000000000005,84,141,.596,38,.452,.760
barneha02,Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,49,49,1584,290,717,121,311,165,198,36,171,62,33,11,68,79,6.3,0.6,-1.2,-1.2,11.5,1.1,0.276,0.0,2.4,0.8,13.1,1.0,0.434,7.0,0.5379999999999999,7.8,23.7,0.3,1.9,0.059000000000000004,130,200,.650,82,.631,.868
bartowi01,Will Barton,SMALL FORWARD,28,DENVER NUGGETS,43,38,1189,185,460,67,196,57,74,32,167,124,18,22,65,82,14.6,1.6,-1.8,-0.8,15.3,1.1,0.161,-1.1,2.9,0.1,11.0,0.7,0.426,9.1,0.501,11.7,20.0,0.0,1.2,0.049,75,132,.568,38,.507,.829
